vin_number,stock_number,vehicle_status,my,model_code,color,msrp,cost
5NMP1DG12TH092833,,DS - Dealer Stock,2026,654E2ABS,SILVER,"        $40,350","        $39,111"
5NMJFCDEXSH496695,H7086,DS - Dealer Stock,2025,85442A4S,SILVER,"        $36,415","        $35,119"
5NMJFCDE4TH645099,,IR - In Transit (Rail),2026,85442A4S,BLUE,"        $37,290","        $35,936"
5NMJFCDE3TH649094,,IR - In Transit (Rail),2026,85442A4S,WHITE,"        $37,610","        $36,258"
5NMJFCDE3TH644865,,DS - Dealer Stock,2026,85442A4S,WHITE,"        $37,405","        $36,072"
5NMJFCDE2TH649264,,IR - In Transit (Rail),2026,85442A4S,BLACK,"        $37,185","        $35,841"
5NMJFCDE2TH646221,,IR - In Transit (Rail),2026,85442A4S,BLACK,"        $37,005","        $35,683"
5NMJECDE9TH640080,,DS - Dealer Stock,2026,85472A4S,BLACK,"        $43,335","        $41,339"
5NMJECDE9TH622047,,DS - Dealer Stock,2026,85472A4S,SILVER,"        $43,245","        $41,232"
5NMJECDE8TH635971,,DS - Dealer Stock,2026,85472A4S,SILVER,"        $43,435","        $41,381"
5NMJECDE8TH625778,,DS - Dealer Stock,2026,85472A4S,WHITE,"        $43,835","        $41,819"
5NMJECDE5TH642960,,DS - Dealer Stock,2026,85472A4S,WHITE,"        $43,760","        $41,753"
5NMJECDE2TH639935,,DS - Dealer Stock,2026,85472A4S,GRAY,"        $43,335","        $41,339"
5NMJECDE1TH648397,,IR - In Transit (Rail),2026,85472A4S,BLACK,"        $43,255","        $41,227"
5NMJCCDE8TH649231,,IR - In Transit (Rail),2026,85462A4S,RED,"        $37,970","        $36,600"
5NMJACDE0TH643400,,IR - In Transit (Rail),2026,85402A4S,BLUE,"        $33,020","        $31,853"
3KMJCCDE2SE019756,H7165,DS - Dealer Stock,2025,85462A4S,BLACK,"        $36,485","        $35,183"
