vin_number,stock_number,vehicle_status,my,model_code,color,msrp,price
5NMP3DGL0TH153169,H7266,DS - Dealer Stock,2026,65462AT5,RED,"$44,775 ","$42,821 "
5NMP2DGL5TH150948,H7242,DS - Dealer Stock,2026,65432AT5,WHITE,"$42,265 ","$40,421 "
5NMP2DGL4TH176098,H7363,DS - Dealer Stock,2026,65432AT5,BLUE,"$41,570 ","$39,783 "
5NMP2DGL0TH174994,,DS - Dealer Stock,2026,65432AT5,GRAY,"$41,560 ","$39,775 "
5NMP2DGL0TH174722,,DS - Dealer Stock,2026,65432AT5,GREEN,"$41,560 ","$39,775 "
5NMP2DG1XTH085013,H7294,DS - Dealer Stock,2026,654F2ABS,SILVER,"$42,630 ","$41,305 "
5NMP2DG14TH093186,H7330,DS - Dealer Stock,2026,654F2ABS,GRAY,"$42,625 ","$41,314 "
5NMP2DG14TH085492,H7293,DS - Dealer Stock,2026,654F2ABS,BLACK,"$42,695 ","$41,366 "
5NMP2DG12TH073907,H7247,DS - Dealer Stock,2026,654F2ABS,WHITE,"$43,260 ","$41,898 "
5NMP2DG11TH077382,H7286,DS - Dealer Stock,2026,654F2ABS,BLUE,"$42,660 ","$41,330 "
5NMP1DGL8TH175796,H7374,DS - Dealer Stock,2026,65402AT5,SILVER,"$39,030 ","$37,360 "
5NMP1DGL6TH168782,,DS - Dealer Stock,2026,65402AT5,WHITE,"$39,680 ","$37,973 "
5NMP1DG1XTH093308,,DS - Dealer Stock,2026,654E2ABS,SILVER,"$40,305 ","$39,073 "
5NMP1DG18TH085174,,DS - Dealer Stock,2026,654E2ABS,BLACK,"$40,295 ","$39,055 "
5NMP1DG17TH079060,H7271,DS - Dealer Stock,2026,654E2ABS,WHITE,"$40,730 ","$39,474 "
5NMP1DG14TH087276,,DS - Dealer Stock,2026,654E2ABS,BLACK,"$40,275 ","$39,035 "
5NMP1DG12TH092833,,DS - Dealer Stock,2026,654E2ABS,SILVER,"$40,350 ","$39,111 "
5NMJFCDE3TH649094,H7394,DS - Dealer Stock,2026,85442A4S,WHITE,"$37,610 ","$36,258 "
5NMJFCDE3TH644865,,DS - Dealer Stock,2026,85442A4S,WHITE,"$37,405 ","$36,072 "
5NMJFCDE2TH649264,,DS - Dealer Stock,2026,85442A4S,BLACK,"$37,185 ","$35,841 "
5NMJECDE8TH635971,,DS - Dealer Stock,2026,85472A4S,SILVER,"$43,435 ","$41,381 "
5NMJECDE2TH639935,,DS - Dealer Stock,2026,85472A4S,GRAY,"$43,335 ","$41,339 "
5NMJECDE1TH648397,,DS - Dealer Stock,2026,85472A4S,BLACK,"$43,255 ","$41,227 "
5NMJCCDE8TH649231,H7383,DS - Dealer Stock,2026,85462A4S,RED,"$37,970 ","$36,600 "
5NMJACDE0TH643400,H7385,DS - Dealer Stock,2026,85402A4S,BLUE,"$33,020 ","$31,853 "
